"Outlook","Temperature","Humidity","Windy","Play"
"Sunny","hot","high","False","no"
"Sunny","hot","high","True","no"
"Overcast","hot","high","False","yes"
"Rainy","mild","high","False","yes"
"Rainy","cool","normal","False","yes"
"Rainy","cool","normal","True","no"
"Overcast","cool","normal","True","yes"
"Sunny","mild","high","False","no"
"Sunny","cool","normal","False","yes"
"Rainy","mild","normal","False","yes"
"Sunny","mild","normal","True","yes"
"Overcast","mild","high","True","yes"
"Overcast","hot","normal","False","yes"
"Rainy","mild","high","True","no"
